plazo,periodo_gracia,cuotas,cuotas_capital,tasa_indexacion,valor_credito
24,0,4,4,IBR,4380256.0
72,0,12,12,IBR,16000000.0
18,0,1,1,IBR,3000000.0
36,0,6,6,IBR,2200000.0
36,0,36,36,IBR,16000000.0
36,0,36,36,IBR,144000000.0
60,0,10,10,IBR,15000000.0
10,0,1,1,IBR,11000000.0
12,11,12,1,IBR,10000000.0
22,21,22,1,IBR,4233795.0
12,11,12,1,IBR,5000000.0
94,9,16,7,IBR,10000000.0
60,0,9,9,DTF,8791777.0
36,0,12,12,IBR,60000000.0
9,0,3,3,IBR,16687964.0
36,0,3,3,IBR,2500000.0
60,0,10,10,IBR,90000000.0
96,2,16,14,IBR,26200000.0
24,0,8,8,IBR,7000000.0
131,4,22,18,IBR,4800000.0
72,2,12,10,IBR,4947420.0
36,0,6,6,IBR,7000000.0
36,0,6,6,IBR,5500000.0
72,2,12,10,IBR,9000000.0
84,2,14,12,IBR,24600000.0
76,6,12,6,IBR,12000000.0
94,9,15,6,IBR,12000000.0
60,2,10,8,IBR,15000000.0
36,0,6,6,IBR,21000000.0
88,9,15,6,IBR,20000000.0
10,0,1,1,IBR,15000000.0
6,5,6,1,IBR,3500000.0
9,0,1,1,IBR,150000000.0
72,2,12,10,IBR,36000000.0
10,0,1,1,IBR,25000000.0
25,0,24,24,IBR,10000000.0
72,2,12,10,IBR,5000000.0
72,2,12,10,IBR,18000000.0
84,2,14,12,IBR,30000000.0
84,2,14,12,IBR,20000000.0
73,7,12,5,IBR,7000000.0
91,9,15,6,IBR,35000000.0
73,7,12,5,IBR,7936000.0
61,6,10,4,IBR,7000000.0
65,2,11,9,IBR,20000000.0
35,0,6,6,IBR,6666660.0
62,6,11,5,IBR,10999479.0
36,0,6,6,IBR,10000000.0
17,0,3,3,IBR,3999989.0
12,0,2,2,IBR,3454374.0
91,9,15,6,IBR,5000000.0
74,7,12,5,IBR,7500000.0
79,8,13,5,IBR,6000000.0
67,6,11,5,IBR,12000000.0
60,0,10,10,IBR,5698000.0
144,6,24,18,IBR,25200000.0
18,0,1,1,IBR,6000000.0
19,0,18,18,IBR,1600000.0
36,0,6,6,IBR,10000000.0
18,0,1,1,IBR,84000000.0
18,0,1,1,IBR,2500000.0
84,21,85,64,IBR,20000000.0
3,0,3,3,IBR,59630819.0
86,9,15,6,IBR,30000000.0
36,0,3,3,IBR,2900000.0
36,0,6,6,IBR,3000000.0
74,7,13,6,IBR,10000000.0
8,0,1,1,IBR,30732000.0
36,0,6,6,IBR,2800000.0
84,0,14,14,IBR,9000000.0
31,0,5,5,IBR,5482322.0
72,1,12,11,IBR,6000000.0
23,22,23,1,IBR,2096000.0
36,0,6,6,IBR,15000000.0
13,0,12,12,IBR,1200000.0
36,0,6,6,IBR,12000000.0
13,0,12,12,IBR,500000.0
17,16,17,1,IBR,2379280.0
12,11,12,1,IBR,946320.0
23,22,23,1,IBR,2466880.0
12,11,12,1,IBR,1419520.0
23,22,23,1,IBR,2128800.0
12,11,12,1,IBR,1670320.0
12,11,12,1,IBR,2233440.0
12,11,12,1,IBR,1660800.0
23,22,23,1,IBR,2132775.0
34,33,34,1,IBR,13070362.0
15,14,15,1,IBR,1295400.0
78,1,13,12,DTF,24105245.0
24,23,24,1,IBR,11000000.0
24,0,4,4,IBR,50000000.0
24,0,4,4,IBR,25000000.0
67,6,12,6,IBR,9999549.0
78,8,13,5,IBR,5000000.0
96,2,16,14,IBR,33000000.0
84,2,14,12,IBR,16000000.0
84,2,14,12,IBR,20000000.0
70,0,12,12,IBR,16770036.0
27,0,9,9,DTF,2484429.0
72,2,12,10,IBR,25000000.0
72,2,12,10,IBR,35000000.0
68,6,11,5,IBR,5190000.0
24,1,2,1,IBR,20000000.0
60,5,10,5,IBR,20000000.0
36,0,6,6,IBR,3000000.0
36,0,6,6,IBR,6000000.0
59,1,20,19,IBR,13667351.0
60,1,10,9,IBR,20000000.0
6,0,6,6,IBR,1000000.0
36,0,6,6,IBR,3600000.0
23,0,23,23,IBR,4000000.0
84,2,14,12,IBR,10000000.0
12,0,1,1,IBR,18000000.0
36,0,6,6,IBR,10000000.0
24,0,5,5,IBR,6500000.0
12,0,1,1,IBR,3000000.0
72,2,12,10,IBR,15000000.0
18,0,6,6,IBR,10500000.0
72,2,12,10,IBR,55000000.0
60,2,10,8,IBR,105000000.0
12,0,4,4,IBR,1780000000.0
12,0,12,12,IBR,4500000000.0
84,0,14,14,IBR,40000000.0
60,0,10,10,IBR,105416670.0
8,0,1,1,IBR,250000000.0
36,5,6,1,IBR,12000000.0
5,4,5,1,IBR,175713581.0
2,0,2,2,IBR,11576000000.0
19,0,19,19,IBR,8848171.0
12,0,12,12,IBR,18685483.0
3,0,1,1,IBR,253470.0
2,0,1,1,IBR,1091836.0
6,0,6,6,IBR,5000000000.0
12,0,4,4,IBR,36139000.0
12,0,12,12,IBR,41855100.0
2,0,1,1,IBR,5488814.0
36,0,36,36,IBR,79600000.0
36,0,36,36,IBR,400000000.0
72,0,12,12,IBR,12437500.0
36,0,6,6,IBR,6000000.0
36,0,6,6,IBR,15000000.0
36,0,6,6,IBR,5000000.0
36,0,6,6,IBR,17000000.0
23,0,2,2,IBR,6989729.0
36,0,6,6,IBR,5000000.0
36,0,6,6,IBR,3000000.0
24,1,2,1,IBR,16000000.0
36,0,6,6,IBR,10000000.0
36,0,6,6,IBR,2000000.0
36,0,6,6,IBR,10000000.0
72,14,24,10,IBR,30000000.0
96,2,16,14,IBR,10000000.0
72,0,12,12,IBR,35000000.0
60,0,10,10,IBR,10000000.0
84,2,14,12,IBR,25000000.0
60,0,10,10,IBR,30000000.0
84,2,14,12,IBR,17000000.0
66,1,11,10,DTF,9454972.0
84,2,14,12,IBR,10000000.0
59,7,10,3,IBR,7760000.0
74,7,12,5,IBR,15000000.0
12,0,1,1,IBR,30000000.0
86,9,15,6,IBR,17000000.0
24,2,4,2,IBR,15000000.0
12,0,1,1,IBR,10000000.0
36,2,6,4,IBR,15000000.0
8,0,1,1,IBR,18000000.0
7,0,1,1,IBR,100000000.0
84,2,14,12,IBR,30000000.0
73,6,12,6,IBR,16000000.0
84,8,14,6,IBR,12000000.0
60,2,10,8,IBR,20000000.0
96,2,16,14,IBR,15000000.0
61,7,11,4,IBR,15000000.0
72,2,12,10,IBR,12000000.0
84,2,14,12,IBR,10000000.0
67,6,11,5,IBR,13000000.0
60,2,10,8,IBR,9977000.0
144,6,24,18,IBR,8400000.0
48,0,8,8,IBR,2500000.0
18,0,3,3,IBR,3100000.0
70,7,11,4,IBR,16500000.0
72,2,12,10,IBR,12000000.0
60,2,10,8,IBR,100000000.0
18,0,1,1,IBR,3450000.0
36,0,37,37,IBR,10000000.0
12,0,1,1,IBR,10000000.0
23,0,23,23,IBR,10100000.0
72,2,12,10,IBR,15000000.0
18,1,3,2,DTF,5533407.0
84,8,14,6,IBR,20000000.0
144,6,24,18,IBR,4000000.0
36,0,36,36,IBR,8000000.0
95,10,16,6,IBR,6240000.0
12,11,12,1,IBR,400000.0
60,2,10,8,IBR,20000000.0
60,0,20,20,IBR,1667423359.0
13,0,12,12,IBR,1072000.0
60,0,10,10,IBR,18000000.0
72,2,12,10,IBR,11000000.0
36,0,6,6,IBR,7000000.0
36,0,6,6,IBR,5656000000.0
12,0,12,12,IBR,1809051.0
10,0,1,1,IBR,15000000.0
60,6,10,4,IBR,4320000.0
12,11,12,1,IBR,1000000.0
12,0,1,1,IBR,12000000.0
36,0,6,6,IBR,12000000.0
84,2,14,12,IBR,26000000.0
24,2,4,2,IBR,10000000.0
36,35,36,1,IBR,4629600.0
12,0,2,2,IBR,2830957.0
6,0,6,6,IBR,6398683.0
8,0,8,8,IBR,7294356.0
72,2,12,10,IBR,15000000.0
3,0,3,3,IBR,640409.0
127,4,22,18,IBR,4200000.0
72,7,12,5,IBR,25000000.0
36,0,6,6,IBR,20000000.0
7,0,6,6,IBR,600000.0
5,0,4,4,IBR,2020000.0
36,3,6,3,IBR,3000000.0
96,2,16,14,IBR,6000000.0
84,0,14,14,IBR,30000000.0
10,0,1,1,IBR,15000000.0
60,2,10,8,IBR,30000000.0
84,2,14,12,IBR,15000000.0
12,11,12,1,IBR,29868000.0
72,2,12,10,IBR,15000000.0
36,0,36,36,IBR,50000000.0
24,0,23,23,IBR,5178595.0
94,9,15,6,IBR,12000000.0
173,15,29,14,IBR,246000000.0
24,0,4,4,IBR,5000000.0
2,0,1,1,IBR,10143924.0
8,0,1,1,IBR,24000000.0
64,6,11,5,IBR,12000000.0
73,1,13,12,IBR,12992092.0
96,2,16,14,IBR,24000000.0
12,1,2,1,DTF,6478425.0
96,2,16,14,IBR,21000000.0
24,2,4,2,IBR,30000000.0
62,5,11,6,DTF,5853405.0
48,0,8,8,IBR,17529375.0
72,0,12,12,IBR,7700000.0
30,0,30,30,IBR,61683930.0
10,0,1,1,IBR,15000000.0
16,0,15,15,IBR,1300000.0
5,0,4,4,IBR,600000.0
18,0,18,18,IBR,1561650.0
3,0,3,3,IBR,4500000.0
36,0,36,36,IBR,103600000.0
36,0,6,6,IBR,18000000.0
9,0,1,1,IBR,5000000.0
19,0,18,18,IBR,3080000.0
12,0,12,12,IBR,865200.0
84,2,14,12,IBR,16000000.0
36,0,12,12,IBR,8000000.0
12,11,12,1,IBR,4000000.0
24,2,4,2,IBR,8000000.0
36,0,12,12,IBR,9000000.0
84,0,14,14,IBR,15000000.0
6,5,6,1,IBR,10000000.0
60,2,10,8,IBR,10000000.0
47,0,4,4,DTF,7740373.0
2,0,1,1,IBR,7352631.0
12,0,12,12,IBR,1593180.0
36,2,6,4,IBR,8000000.0
96,2,16,14,IBR,25000000.0
144,6,24,18,IBR,6000000.0
36,0,6,6,IBR,3000000.0
36,0,3,3,IBR,2600000.0
36,0,6,6,IBR,12000000.0
96,2,16,14,IBR,15000000.0
23,0,4,4,IBR,3388395.0
12,11,12,1,IBR,43700000.0
19,0,18,18,IBR,2159770.0
36,0,6,6,IBR,10000000.0
90,9,15,6,IBR,4600000.0
36,0,12,12,IBR,8000000.0
12,0,1,1,IBR,16260000.0
96,2,16,14,IBR,15000000.0
73,7,12,5,IBR,17100000.0
92,10,16,6,IBR,13580000.0
36,0,6,6,IBR,20000000.0
84,9,14,5,IBR,7449600.0
15,0,15,15,IBR,2256519.0
18,0,18,18,IBR,7315693.0
20,0,20,20,IBR,2493728.0
72,2,13,11,IBR,10500000.0
72,2,13,11,IBR,12000000.0
12,0,12,12,IBR,2592597.0
18,0,18,18,IBR,2442615.0
18,0,18,18,IBR,6536274.0
18,0,18,18,IBR,3572367.0
18,0,18,18,IBR,2685941.0
72,2,12,10,IBR,12000000.0
18,0,18,18,IBR,4491361.0
84,7,14,7,IBR,16000000.0
23,0,4,4,DTF,3417373.0
24,0,3,3,DTF,4569479.0
24,0,4,4,IBR,8332560.0
78,7,13,6,IBR,18000000.0
72,2,12,10,IBR,11000000.0
18,0,3,3,IBR,6790000.0
36,0,12,12,IBR,10000000.0
36,0,12,12,IBR,5500000.0
60,0,10,10,IBR,4000000.0
84,0,14,14,IBR,25000000.0
48,0,8,8,IBR,3500000.0
60,0,10,10,IBR,2410000.0
60,0,10,10,IBR,14600000.0
18,0,18,18,IBR,83000000.0
36,0,36,36,IBR,108000000.0
24,0,4,4,IBR,15700000.0
24,0,4,4,IBR,2280000.0
18,0,3,3,IBR,3390000.0
36,0,12,12,IBR,2980000.0
60,5,10,5,IBR,7000000.0
61,6,10,4,IBR,9400000.0
144,6,24,18,IBR,8400000.0
48,0,8,8,IBR,7000000.0
120,6,20,14,IBR,13160000.0
48,2,8,6,IBR,13300000.0
18,0,6,6,IBR,5000000.0
41,2,7,5,IBR,13333320.0
72,2,12,10,IBR,12000000.0
67,5,11,6,IBR,16500000.0
36,3,6,3,IBR,2000000.0
61,6,10,4,IBR,9400000.0
60,0,10,10,IBR,12000000.0
36,0,6,6,IBR,2800000.0
36,0,3,3,IBR,2800000.0
6,0,1,1,IBR,150000000.0
24,0,24,24,IBR,50000000.0
36,0,6,6,IBR,200000000.0
36,0,36,36,IBR,52000000.0
36,0,6,6,IBR,23000000.0
84,0,14,14,IBR,11000000.0
21,0,20,20,IBR,1772000.0
96,2,16,14,IBR,15000000.0
24,2,4,2,IBR,10000000.0
60,0,10,10,IBR,12000000.0
72,2,12,10,IBR,20000000.0
24,0,23,23,IBR,3438000.0
60,0,10,10,IBR,15000000.0
10,0,1,1,IBR,5000000.0
48,2,8,6,IBR,25000000.0
70,8,12,4,IBR,3500000.0
24,2,4,2,IBR,21000000.0
60,59,60,1,IBR,14300000.0
25,0,24,24,IBR,2879512.0
17,1,3,2,DTF,1656942.0
12,0,1,1,IBR,5000000.0
108,6,18,12,IBR,12000000.0
76,8,13,5,IBR,11000000.0
36,0,6,6,IBR,7000000.0
36,0,6,6,IBR,2500000.0
18,0,18,18,IBR,4948952.0
24,0,24,24,IBR,2500000.0
36,1,6,5,IBR,5200000.0
67,7,11,4,IBR,16000000.0
24,0,23,23,IBR,2000000.0
24,0,23,23,IBR,3112000.0
61,6,10,4,IBR,16000000.0
24,0,4,4,IBR,15000000.0
12,0,1,1,IBR,10500000.0
61,6,10,4,IBR,7000000.0
23,0,23,23,IBR,2115000.0
72,2,12,10,IBR,12000000.0
36,0,6,6,IBR,3000000.0
19,0,3,3,IBR,2466660.0
60,0,5,5,IBR,24703469.0
53,0,9,9,IBR,19683942.0
42,0,7,7,IBR,9941838.0
42,0,7,7,IBR,9381149.0
6,0,1,1,IBR,1637982.0
12,0,2,2,IBR,100000000.0
12,11,12,1,IBR,400000.0
36,0,6,6,IBR,2900000.0
95,10,16,6,IBR,14000000.0
12,0,1,1,IBR,36000000.0
36,0,36,36,IBR,150000000.0
36,0,36,36,IBR,71019720.0
10,0,1,1,IBR,17100000.0
49,1,9,8,IBR,17721287.0
36,0,6,6,IBR,3300000.0
17,0,16,16,IBR,1392976.0
1,0,1,1,IBR,49000000.0
18,0,18,18,IBR,1600000.0
13,0,12,12,IBR,1100000.0
96,2,16,14,IBR,15000000.0
84,0,14,14,IBR,20000000.0
18,0,18,18,IBR,2682970.0
25,0,24,24,IBR,4000000.0
81,2,14,12,IBR,73331755.0
36,0,6,6,IBR,5000000.0
88,9,15,6,IBR,12000000.0
42,6,42,36,IBR,288164395.0
66,1,11,10,IBR,36976854.0
5,0,1,1,IBR,2061143.0
54,0,9,9,IBR,23502624.0
36,0,6,6,IBR,25000000.0
60,0,10,10,IBR,10000000.0
60,0,10,10,IBR,16000000.0
36,0,36,36,IBR,505750000.0
57,56,57,1,IBR,386396811.0
1,0,1,1,IBR,5800000.0
12,11,12,1,IBR,3100000.0
6,5,6,1,IBR,5000000.0
6,5,6,1,IBR,500000000.0
36,0,36,36,IBR,32000000.0
12,11,12,1,IBR,5000000.0
12,11,12,1,IBR,155000.0
10,0,10,10,IBR,3399732.0
13,0,12,12,IBR,2500000.0
13,0,12,12,IBR,1100000.0
15,0,14,14,IBR,1100000.0
21,0,20,20,IBR,2544000.0
12,0,12,12,IBR,1200000.0
6,0,6,6,IBR,2000000.0
60,0,60,60,IBR,150000000.0
144,6,24,18,IBR,8400000.0
43,4,8,4,DTF,6416369.0
36,0,36,36,IBR,5000000000.0
93,10,16,6,IBR,13000000.0
24,0,4,4,IBR,16210900.0
96,2,16,14,IBR,12000000.0
120,4,20,16,IBR,10000000.0
18,0,3,3,IBR,1950000.0
24,0,23,23,IBR,2700000.0
60,59,60,1,IBR,80580000.0
12,0,1,1,IBR,3140000.0
68,7,12,5,IBR,9341300.0
12,0,1,1,IBR,19010000.0
18,0,18,18,IBR,3000000.0
10,0,1,1,IBR,200000000.0
48,2,8,6,IBR,8000000.0
12,0,2,2,IBR,1672000.0
13,0,12,12,IBR,1500000.0
10,0,10,10,IBR,800000.0
13,0,12,12,IBR,1500000.0
12,0,12,12,IBR,3577732.0
19,0,18,18,IBR,2378200.0
72,2,12,10,IBR,20000000.0
84,2,14,12,IBR,20000000.0
72,2,12,10,IBR,21000000.0
72,2,12,10,IBR,20000000.0
60,1,10,9,IBR,22000000.0
72,6,12,6,IBR,15000000.0
64,17,64,47,IBR,2531000.0
71,8,12,4,IBR,19000000.0
89,9,15,6,IBR,15000000.0
83,8,13,5,IBR,20000000.0
71,8,12,4,IBR,6000000.0
95,9,16,7,IBR,10000000.0
95,10,16,6,IBR,15000000.0
84,4,28,24,IBR,17142000.0
67,7,11,4,IBR,8000000.0
60,5,10,5,IBR,20000000.0
36,0,12,12,IBR,4100000.0
36,0,3,3,IBR,3600000.0
36,0,3,3,IBR,3400000.0
36,0,6,6,IBR,4000000.0
36,0,6,6,IBR,3900000.0
36,0,6,6,IBR,2900000.0
25,3,5,2,DTF,2997788.0
37,1,4,3,DTF,5332359.0
60,2,11,9,IBR,12650000.0
45,0,45,45,IBR,215131541.0
12,0,12,12,IBR,2807734.0
12,0,12,12,IBR,3728857.0
18,0,18,18,IBR,2603631.0
16,0,16,16,IBR,2575234.0
15,0,15,15,IBR,3760124.0
12,0,12,12,IBR,2262484.0
12,0,12,12,IBR,2379479.0
18,0,18,18,IBR,4137243.0
24,0,4,4,IBR,37700000.0
12,0,4,4,IBR,1497711837.0
120,2,20,18,IBR,7045000.0
36,0,6,6,IBR,2900000.0
60,0,60,60,IBR,600000000.0
36,0,6,6,IBR,6000000.0
12,0,12,12,IBR,1543200.0
84,2,14,12,IBR,18000000.0
69,8,12,4,IBR,8000000.0
12,0,1,1,IBR,18000000.0
12,0,12,12,IBR,1149980.0
92,9,15,6,IBR,12000000.0
95,10,16,6,IBR,5115000.0
84,2,14,12,IBR,12000000.0
6,0,6,6,IBR,3316357.0
35,3,6,3,IBR,11643393.0
72,0,24,24,IBR,9700000.0
13,0,12,12,IBR,1093180.0
23,22,23,1,IBR,5000000.0
84,2,14,12,IBR,6000000.0
80,8,13,5,IBR,4000000.0
60,0,5,5,IBR,40000000.0
36,0,6,6,IBR,2200000.0
84,8,14,6,IBR,15000000.0
12,0,1,1,DTF,1085971.0
35,0,3,3,IBR,1466764.0
1,0,0,0,IBR,25999666.0
84,0,14,14,IBR,8000000.0
84,0,14,14,IBR,15000000.0
36,0,36,36,IBR,70000000.0
84,2,14,12,IBR,45000000.0
72,0,12,12,IBR,17000000.0
19,0,18,18,IBR,4439770.0
60,0,60,60,IBR,16000000.0
60,0,10,10,IBR,3300000.0
84,1,14,13,IBR,26608000.0
84,2,14,12,IBR,5500000.0
36,3,6,3,IBR,3400000.0
6,0,1,1,DTF,3665086.0
12,0,4,4,IBR,2500000000.0
84,0,14,14,IBR,15000000.0
19,0,18,18,IBR,2732970.0
15,0,14,14,IBR,800000.0
144,6,24,18,IBR,12600000.0
60,2,10,8,IBR,21000000.0
13,0,12,12,IBR,1621980.0
78,6,12,6,IBR,7000000.0
36,0,3,3,IBR,4200000.0
84,8,14,6,IBR,10000000.0
12,0,1,1,IBR,30000000.0
36,0,36,36,IBR,150000000.0
10,0,10,10,IBR,1100000.0
36,0,6,6,IBR,15000000.0
19,0,18,18,IBR,2139770.0
12,0,12,12,IBR,1000000.0
36,0,3,3,IBR,9390000.0
120,0,20,20,IBR,10000000.0
25,0,24,24,IBR,6125864.0
19,0,18,18,IBR,1742800.0
35,0,6,6,IBR,8286527.0
36,0,6,6,IBR,22000000.0
19,0,18,18,IBR,3000000.0
36,0,6,6,IBR,2400000.0
144,6,24,18,IBR,4900000.0
18,0,1,1,IBR,4000000.0
77,7,12,5,IBR,12500000.0
72,0,12,12,IBR,3000000.0
29,2,6,4,DTF,6141993.0
24,1,2,1,IBR,10730000.0
71,7,12,5,IBR,10000000.0
36,0,12,12,IBR,15000000.0
35,0,3,3,DTF,5333144.0
24,0,4,4,IBR,9908570.0
59,0,6,6,IBR,1725000.0
36,0,12,12,IBR,5500000.0
60,0,10,10,IBR,16000000.0
17,0,2,2,IBR,4000000.0
36,0,3,3,IBR,5404078.0
60,0,10,10,IBR,10000000.0
24,0,24,24,IBR,17720000.0
36,0,36,36,IBR,132800000.0
47,0,4,4,IBR,15000000.0
36,35,36,1,IBR,12000000.0
24,2,4,2,IBR,3650000.0
12,0,12,12,IBR,868425537.0
12,0,12,12,IBR,50290362.0
36,0,36,36,IBR,115383590.0
24,1,4,3,IBR,3000000.0
58,0,10,10,IBR,16000000.0
70,5,11,6,DTF,9997009.0
36,35,36,1,IBR,10500000.0
72,1,12,11,IBR,20000000.0
36,0,36,36,IBR,309900000.0
12,0,12,12,IBR,100000000.0
12,0,12,12,IBR,50201000.0
120,0,120,120,IBR,420000000.0
12,0,12,12,IBR,18925500.0
12,0,12,12,IBR,600000000.0
12,0,12,12,IBR,1500000000.0
12,0,12,12,IBR,55176493.0
36,0,36,36,IBR,265415000.0
24,0,4,4,IBR,8000000.0
60,2,10,8,IBR,5000000.0
36,0,36,36,IBR,100000000.0
76,7,13,6,IBR,8000000.0
13,0,12,12,IBR,3132000.0
36,0,6,6,IBR,2600000.0
60,0,20,20,IBR,80000000.0
60,0,10,10,IBR,15000000.0
12,0,12,12,IBR,1160800.0
84,2,14,12,IBR,18000000.0
19,0,18,18,IBR,2182970.0
76,8,13,5,IBR,12000000.0
12,11,12,1,IBR,6500000.0
12,11,12,1,IBR,16000000.0
12,11,12,1,IBR,99330.0
12,11,12,1,IBR,70000000.0
12,11,12,1,IBR,30000000.0
12,11,12,1,IBR,5000000.0
12,11,12,1,IBR,21400000.0
12,11,12,1,IBR,3000000.0
12,11,12,1,IBR,15000000.0
12,11,12,1,IBR,14000000.0
12,11,12,1,IBR,12600000.0
12,11,12,1,IBR,47000000.0
12,11,12,1,IBR,4000000.0
12,0,12,12,IBR,1000000.0
36,0,6,6,IBR,8000000.0
36,0,6,6,IBR,3000000.0
36,0,36,36,IBR,3000000000.0
23,0,22,22,IBR,2600000.0
19,0,18,18,IBR,2200000.0
96,2,16,14,IBR,6500000.0
36,0,6,6,IBR,15000000.0
68,2,12,10,DTF,6830772.0
96,2,16,14,IBR,8000000.0
36,0,12,12,IBR,100000000.0
24,2,4,2,DTF,5770216.0
12,11,12,1,IBR,15000000.0
60,2,10,8,IBR,7000000.0
72,2,12,10,IBR,6000000.0
35,3,6,3,DTF,3300996.0
73,6,12,6,IBR,10000000.0
8,0,1,1,IBR,14000000.0
36,2,6,4,IBR,5000000.0
18,0,6,6,IBR,3500000000.0
36,3,6,3,IBR,2500000.0
36,3,6,3,IBR,2800000.0
18,0,1,1,IBR,1350000.0
18,0,1,1,IBR,3000000.0
18,0,3,3,IBR,3500000.0
24,0,4,4,IBR,3430000.0
24,0,4,4,IBR,3790000.0
36,0,6,6,IBR,10550000.0
36,0,6,6,IBR,5020000.0
36,0,6,6,IBR,5020000.0
36,0,6,6,IBR,2900000.0
36,0,6,6,IBR,3500000.0
36,0,6,6,IBR,2450000.0
36,0,6,6,IBR,3200000.0
36,0,6,6,IBR,3700000.0
36,0,6,6,IBR,3600000.0
36,0,6,6,IBR,2800000.0
36,0,6,6,IBR,3000000.0
36,0,6,6,IBR,2300000.0
36,0,6,6,IBR,2500000.0
36,0,36,36,IBR,4000000000.0
36,0,35,35,IBR,3000000.0
12,11,12,1,IBR,12000000.0
36,0,0,0,IBR,6326700.0
6,0,1,1,IBR,43429128.0
36,0,6,6,IBR,2500000.0
13,0,12,12,IBR,1600000.0
6,0,1,1,DTF,1184173.0
24,1,2,1,IBR,6000000.0
25,0,24,24,IBR,3089464.0
25,0,24,24,IBR,3000000.0
84,2,14,12,IBR,20000000.0
13,0,12,12,IBR,3000000.0
12,11,12,1,IBR,80000000.0
12,0,12,12,IBR,849980.0
95,10,16,6,IBR,17500000.0
84,2,14,12,IBR,16000000.0
12,0,1,1,IBR,11000000.0
96,2,16,14,IBR,20000000.0
19,0,18,18,IBR,4345600.0
35,1,6,5,IBR,29088997.0
82,8,13,5,IBR,7000000.0
6,0,2,2,IBR,12000000.0
10,0,1,1,IBR,2500000.0
36,0,6,6,IBR,10000000.0
60,0,10,10,IBR,11000000.0
78,0,13,13,IBR,12840785.0
53,0,9,9,IBR,25119362.0
18,0,3,3,IBR,2782984.0
84,2,14,12,IBR,20000000.0
36,0,6,6,IBR,7503000.0
24,2,4,2,IBR,20000000.0
10,0,1,1,IBR,22000000.0
94,9,15,6,IBR,15000000.0
60,2,10,8,IBR,6700000.0
70,7,12,5,IBR,7711801.0
60,2,10,8,IBR,30000000.0
72,2,12,10,IBR,10000000.0
16,0,1,1,IBR,5500000.0
36,0,6,6,IBR,7000000.0
36,0,36,36,IBR,23500000.0
71,7,11,4,IBR,32000000.0
18,0,3,3,IBR,3624604.0
8,0,1,1,IBR,30000000.0
36,0,6,6,IBR,4500000.0
60,0,10,10,IBR,11000000.0
72,2,12,10,IBR,18750000.0
60,0,10,10,IBR,15000000.0
84,2,14,12,IBR,17000000.0
120,2,20,18,IBR,35000000.0
83,9,14,5,IBR,12000000.0
72,2,12,10,IBR,8000000.0
120,2,20,18,IBR,35000000.0
83,9,14,5,IBR,7000000.0
96,2,16,14,IBR,30000000.0
11,0,1,1,IBR,3528254.0
24,0,2,2,IBR,6348739.0
36,0,6,6,IBR,3000000.0
18,0,3,3,IBR,3900000.0
36,0,6,6,IBR,3700000.0
8,0,2,2,IBR,120000000.0
12,11,13,2,IBR,100000000.0
20,0,20,20,IBR,5471712.0
144,6,24,18,IBR,13020000.0
41,3,7,4,IBR,4996997.0
72,2,12,10,IBR,21000000.0
72,2,12,10,IBR,15000000.0
72,2,12,10,IBR,8000000.0
96,2,16,14,IBR,8500000.0
96,2,16,14,IBR,14000000.0
95,9,15,6,IBR,8000000.0
59,0,5,5,DTF,3622982.0
17,0,1,1,IBR,9000000.0
60,0,10,10,IBR,22000000.0
72,0,12,12,IBR,17701231.0
41,0,8,8,IBR,19999539.0
12,0,2,2,IBR,3274318.0
12,0,2,2,IBR,11978163.0
18,0,3,3,IBR,1874176.0
48,0,8,8,IBR,16976028.0
144,6,24,18,IBR,16000000.0
19,0,18,18,IBR,1261086.0
36,0,6,6,IBR,3650000.0
36,0,6,6,IBR,2000000.0
35,3,6,3,IBR,13454417.0
84,0,14,14,IBR,11000000.0
24,0,23,23,IBR,5164400.0
12,11,12,1,IBR,5000000.0
19,0,18,18,IBR,2100000.0
13,0,12,12,IBR,854145.0
13,0,12,12,IBR,1591485.0
10,0,1,1,IBR,9000000.0
36,0,36,36,IBR,6000000.0
72,2,12,10,IBR,10000000.0
36,0,6,6,IBR,2100000.0
13,0,12,12,IBR,1000000.0
48,0,48,48,IBR,21008001.0
18,0,18,18,IBR,2000000.0
12,11,12,1,IBR,9000000.0
12,0,12,12,IBR,5158400.0
36,0,36,36,IBR,250000000.0
12,0,2,2,DTF,1561625.0
82,7,14,7,DTF,10211595.0
53,6,10,4,DTF,32487740.0
132,14,22,8,IBR,15750000.0
36,0,6,6,IBR,5000000.0
10,0,1,1,IBR,10000000.0
53,4,9,5,DTF,12500000.0
23,2,4,2,DTF,5099992.0
13,0,12,12,IBR,1017100.0
3,0,1,1,DTF,2591392.0
36,2,6,4,IBR,21000000.0
14,0,12,12,IBR,778000.0
10,0,1,1,IBR,25000000.0
60,0,10,10,IBR,10000000.0
18,0,3,3,DTF,6738098.0
23,0,22,22,IBR,3600000.0
18,1,3,2,IBR,5000000.0
72,2,12,10,IBR,170000000.0
12,0,12,12,IBR,1121980.0
36,0,12,12,IBR,8500000.0
58,5,9,4,IBR,15000000.0
58,5,9,4,IBR,15000000.0
36,0,6,6,IBR,3600000.0
36,0,6,6,IBR,2050000.0
36,0,6,6,IBR,2500000.0
36,0,6,6,IBR,20000000.0
36,3,6,3,IBR,9150776.0
88,8,15,7,IBR,20000000.0
144,6,24,18,IBR,25200000.0
88,8,14,6,IBR,24000000.0
