plazo,periodo_gracia,cuotas,cuotas_capital,tasa_indexacion,valor_credito
60,4,20,16,IBR,8000000.0
36,0,6,6,IBR,2000000.0
72,2,12,10,IBR,7000000.0
12,0,1,1,IBR,6500000.0
36,0,6,6,IBR,3500000.0
72,6,12,6,IBR,20000000.0
77,6,13,7,DTF,14586153.0
60,4,20,16,IBR,7000000.0
108,6,18,12,IBR,8000000.0
84,0,14,14,IBR,20000000.0
60,0,10,10,IBR,4000000.0
36,0,6,6,IBR,10000000.0
64,2,11,9,DTF,9751918.0
60,0,10,10,IBR,8000000.0
12,0,1,1,IBR,5360000.0
60,0,10,10,IBR,8000000.0
132,6,22,16,IBR,5000000.0
36,0,6,6,IBR,4000000.0
70,6,12,6,IBR,8000000.0
72,2,12,10,IBR,10000000.0
24,0,4,4,IBR,2500000.0
12,0,1,1,IBR,15570000.0
120,2,20,18,IBR,20000000.0
24,0,4,4,IBR,20000000.0
24,1,2,1,IBR,3000000.0
24,3,4,1,IBR,12500000.0
36,0,3,3,IBR,2500000.0
60,0,10,10,IBR,20000000.0
33,3,6,3,DTF,4061211.0
84,8,14,6,IBR,16719450.0
36,0,6,6,IBR,5000000.0
12,0,1,1,IBR,6000000.0
60,0,10,10,IBR,15000000.0
36,0,6,6,IBR,10000000.0
8,0,1,1,IBR,30000000.0
14,0,1,1,IBR,4000000.0
10,0,1,1,IBR,10000000.0
36,0,6,6,IBR,10000000.0
96,2,16,14,IBR,8000000.0
84,2,14,12,IBR,34000000.0
24,0,2,2,IBR,3340000.0
36,0,6,6,IBR,3500000.0
71,7,12,5,IBR,10000000.0
84,2,14,12,IBR,20000000.0
84,8,14,6,IBR,12000000.0
12,0,1,1,IBR,20000000.0
84,2,14,12,IBR,18000000.0
63,6,11,5,IBR,6000000.0
12,11,12,1,IBR,20000000.0
60,0,10,10,IBR,30000000.0
24,0,4,4,IBR,100000000.0
80,8,13,5,IBR,6000000.0
19,0,18,18,IBR,2200000.0
7,0,6,6,IBR,500000.0
13,0,12,12,IBR,2093180.0
24,0,24,24,IBR,300000000.0
84,0,14,14,IBR,15000000.0
6,5,7,2,IBR,18240000.0
60,0,10,10,IBR,11800000.0
10,0,1,1,IBR,13000000.0
36,35,36,1,IBR,6345600.0
84,2,14,12,IBR,10000000.0
60,2,10,8,IBR,60000000.0
8,0,1,1,IBR,700000000.0
10,0,1,1,IBR,21460000.0
68,7,11,4,IBR,10000000.0
36,0,6,6,IBR,20000000.0
60,2,10,8,IBR,90000000.0
69,7,11,4,IBR,15000000.0
24,1,2,1,IBR,14000000.0
60,2,10,8,IBR,25000000.0
96,2,16,14,IBR,19000000.0
60,2,10,8,IBR,16000000.0
12,0,1,1,IBR,26410000.0
64,7,11,4,IBR,3000000.0
36,0,6,6,IBR,4000000.0
88,9,15,6,IBR,9000000.0
